player_name,nationality,retired,retirement_year,confidence,notes
Ravish Sharma,India,,,low,There is limited information available about a player named Ravish Sharma in international cricket.
Virat Kohli,India,False,,high,"As of October 2023, Virat Kohli is an active player for the Indian national cricket team according to his Wikipedia page."
MS Dhoni,India,True,2020,high,"MS Dhoni announced his retirement from international cricket on August 15, 2020, as documented on Wikipedia."
Rohit Sharma,India,False,,high,"As of October 2023, Rohit Sharma is an active player for the Indian national cricket team, as noted on his Wikipedia page."
DA Warner,Australia,False,,high,"As of October 2023, David Warner is still an active player for the Australian national team according to his Wikipedia page."
SPD Smith,Australia,False,,high,"As of October 2023, Steve Smith is an active player for the Australian national cricket team, as noted on his Wikipedia page."
AB de Villiers,South Africa,True,2018,high,"AB de Villiers announced his retirement from international cricket in May 2018, as documented on his Wikipedia page."
Babar Azam,Pakistan,False,,high,"Babar Azam is currently an active player for the Pakistan national cricket team, as noted on his Wikipedia page."
KS Williamson,New Zealand,False,,high,"As of October 2023, Kane Williamson is still an active player for the New Zealand national cricket team according to his Wikipedia page."
CH Gayle,West Indies,True,2021,high,"Chris Gayle announced his retirement from international cricket after the T20 World Cup in 2021, as documented on Wikipedia."
