player_name,nationality,retired_t20i,retired_odi,retired_test,fully_retired_international,retirement_year,still_plays_league,confidence,notes
Ravish Sharma,India,,,,,,,low,No information found on a cricketer named 'Ravish Sharma' playing for India.
Virat Kohli,India,True,False,True,False,2025,True,high,Virat Kohli retired from T20Is in June 2024 and from Test cricket in May 2025 but continues to play ODIs and in the IPL. ([skysports.com](https://www.skysports.com/cricket/news/12344/13161057/indias-virat-kohli-and-rohit-sharma-retire-from-t20-international-cricket-after-world-cup-win-over-south-africa?utm_source=openai))
Rohit Sharma,India,True,False,True,False,2025,True,high,Rohit Sharma retired from T20Is in 2024 and Test cricket in 2025 but continues to play ODIs and domestic leagues. [Source: Sky Sports](https://www.skysports.com/cricket/news/12123/13363381/rohit-sharma-india-captain-announces-retirement-from-test-cricket)
MS Dhoni,India,True,True,True,True,2020,True,high,"MS Dhoni retired from international cricket on August 15, 2020, but continues to play in the IPL for Chennai Super Kings. ([timesofindia.indiatimes.com](https://timesofindia.indiatimes.com/sports/cricket/news/watch-when-ms-dhoni-said-goodbye-to-international-cricket-on-independence-day/articleshow/102740996.cms?utm_source=openai))"
DA Warner,Australia,True,True,True,True,2024,True,high,David Warner retired from all international cricket formats in 2024 but continues to participate in domestic and franchise leagues. [Source: Wikipedia](https://en.wikipedia.org/wiki/David_Warner_%28cricketer%29)
SPD Smith,Australia,False,True,False,False,2025,True,high,Steve Smith retired from ODI cricket in March 2025 but continues to play Test and T20I cricket for Australia. Source: https://www.espn.com/cricket/story/_/id/44116384/australia-news-steven-smith-retires-odi-cricket
AB de Villiers,South Africa,True,True,True,True,2018,False,high,AB de Villiers retired from all forms of international cricket in 2018 and from all forms of cricket in 2021. ([icc-cricket.com](https://www.icc-cricket.com/news/ab-de-villiers-announces-retirement-from-all-forms?utm_source=openai))
Babar Azam,Pakistan,False,False,False,False,,True,high,"As of April 2026, Babar Azam continues to play international cricket across all formats and participates in domestic leagues. ([en.wikipedia.org](https://en.wikipedia.org/wiki/Babar_Azam?utm_source=openai))"
KS Williamson,New Zealand,True,False,False,False,2025,True,high,Kane Williamson retired from T20 internationals in November 2025 to focus on Test and ODI cricket. ([skysports.com](https://www.skysports.com/cricket/news/12040/13462468/kane-williamson-former-new-zealand-captain-retires-from-t20-internationals-to-focus-on-test-cricket?utm_source=openai))
CH Gayle,West Indies,False,False,True,False,,True,medium,"As of June 2023, Chris Gayle has not officially announced his retirement from international cricket, expressing concerns about the future of the game. [Source](https://crickettimes.com/2023/06/chris-gayle-voiced-his-concerns-about-the-current-state-and-future-of-international-cricket/)"
